"cid","cowner","cname","ctype","cnumeric","crequired","cinsdisplaytype","cinsdisplaydata","cinsdisplayinclude","cinsdefaultvalue","cupddisplaytype","cupddisplaydata","cupddisplayinclude","cbackendlist","cdescription","csection"
"ecom_ebayprod.paymentprofile","SYSTEM","Payment Profile","text","20","1","RADIO-CUSTOM","ecom.ebaypaymentpolicyprofile","","0","RADIO-CUSTOM","ecom.ebaypaymentpolicyprofile","","0","Select the seller payment profile to use for this offer.","Seller Profiles"
"ecom_ebayprod.returnpolicyprofile","SYSTEM","Return Policy Profile","text","20","1","RADIO-CUSTOM","ecom.ebayreturnpolicyprofile","","0","RADIO-CUSTOM","ecom.ebayreturnpolicyprofile","","0","Select the seller return policy profile to use for this offer.","Seller Profiles"
"ecom_ebayprod.shippingprofile","SYSTEM","Shipping Profile","text","20","1","RADIO-CUSTOM","ecom.ebayshippingpolicyprofile","","0","RADIO-CUSTOM","ecom.ebayshippingpolicyprofile","","0","Select the seller shipping profile to use for this offer.","Seller Profiles"
"ecom_ebayprod.status","SYSTEM","System Status","text","100","1","HIDDEN-REG","","","Pending","DISPLAY-REG","","","1","This is the system status for this offer.  This status is updated, and controlled by this software.","eBay Offer"
"ecom_ebayprod.storecatprimary","SYSTEM","eBay Store Primary Category","text","150","0","SELECT-CUSTOM","ecom.ebaystorecategories","","","SELECT-CUSTOM","ecom.ebaystorecategories","","0","Optionally select a primary eBay store category for this offer.  Select a root level category, or a category that has no child categories (subcategories).","eBay Offer"
"ecom_ebayprod.storecatsecondary","SYSTEM","eBay Store Secondary Category","text","150","0","SELECT-CUSTOM","ecom.ebaystorecategories","","","SELECT-CUSTOM","ecom.ebaystorecategories","","0","Optionally select a secondary eBay store category for this offer.  Select a root level category, or a category that has no child categories (subcategories).","eBay Offer"
"ecom_ebayprod.subtitle","SYSTEM","Subtitle","text","250","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This is the subtitle for this offer.  This subtitle is optional.  It's used to provide more information about the item(s) you're offer, and fees may be applied for usage.","Offer Parameters"
"ecom_ebayprod.suppressbarcode","SYSTEM","Suppress UPC/EAN","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to suppress submission of the inventory item barcode as the UPC/EAN for this offer.  The default value is false (0), which will submit the inventory item barcode as the UPC/EAN for this offer, if present.","Pricing and Inventory"
"ecom_ebayprod.xpricemap","SYSTEM","Pricing Map","clob","","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"ecom_gateway.active","SYSTEM","Active Status","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","1","The current status of this gateway.  If set to true, this gateway will be made available for checkout processing.","Payment Gateway"
"ecom_gateway.beonly","SYSTEM","Limit to Management Interface","integer","","1","SELECT-BOOL","","","0","SELECT-BOOL","","","1","You can limit the display of this gateway to the management interface only by setting this option to true (1).  If set to false, this gateway will be available for all customers.","Gateway Display Controls"
"ecom_gateway.dispname","SYSTEM","Field Display Text","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This display text is used to present an option for this gateway to the customer during checkout.","Payment Gateway"
"ecom_gateway.disporder","SYSTEM","Field Display Order","integer","5","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","0","The field order numeric allows display of the gateways in the checkout form in a particular order.  The fields are sorted in ascending order based on this numeric indicator.","Payment Gateway"
"ecom_gateway.fieldon","SYSTEM","Response Field Name: Order Number","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This field is used for External URL Type processing integrations.  Enter the order number field transmitted by the processing gateway, or enter 'NotApplicable' for Internal URL Type integrations.","Fields"
"ecom_gateway.fieldrc","SYSTEM","Response Field Name: Response Code","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Every processor integration uses a response code field to transmit a transaction authorization or failure code back to this software.  Enter the response code field used by this gateway below.","Fields"
"ecom_gateway.fieldtotal","SYSTEM","Request Field Name: Payment Total","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This field is used for Internal URL Type processing integrations.  Enter the payment total field used by the processing gateway so it can be matched prior to processing with the order balance, or enter 'NotApplicable' for External URL Type integrations.","Fields"
"ecom_gateway.fieldtransid","SYSTEM","Response Field Name: Processor Transaction ID","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This field is used for External URL Type processing integrations.  Enter the processor transaction id field transmitted by the processing gateway, or enter 'NotApplicable' for Internal URL Type integrations.","Fields"
"ecom_gateway.id","SYSTEM","Identifier","text","100","1","TEXTBOX-REG","","","","DISPLAY-REG","","","0","This unique gateway identifier is used to identify this gateway within the software.  This identifier must be unique.","Payment Gateway"
"ecom_gateway.incdisp","SYSTEM","Form Display Code","clob","","1","TEXTAREA-REG","","","","TEXTAREA-REG","","","0","The PHP code entered here is used to set up the XHTML form used to process an order for this gateway.  The PHP code in this display should be based on the includes used by this software.","Form Display Code"
"ecom_gateway.name","SYSTEM","Gateway Name","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This name is used within the software to reference this gateway.","Payment Gateway"
"ecom_gateway.paymenttype","SYSTEM","Accounting Payment Type","text","50","1","SELECT-CUSTOM","ecom.paymenttype","","CREDITCARD","SELECT-CUSTOM","ecom.paymenttype","","0","Select the accounting payment type to be associated with this gateway.","Payment Gateway"
"ecom_gateway.postorder","SYSTEM","Order Processing Level","integer","1","1","SELECT-CUSTOM","ecom.postorder","","1","SELECT-CUSTOM","ecom.postorder","","0","Select the order processing level at which to process approved orders using this gateway.","Payment Gateway"
"ecom_gateway.recursup","SYSTEM","Supports Recurring Billing","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","0","Indicate whether this gateway supports recurring billing.","Payment Gateway"
"ecom_gateway.refurlstr","SYSTEM","Referring URL String","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This field is used for External URL Type processing integrations.  Enter a portion of the URL used by processing gateway (domain name, URL portion), or enter 'NotApplicable' for Internal URL Type integrations.","Security"
"ecom_gateway.transkey","SYSTEM","Transaction Key/Password","text","250","0","TEXTBOX-CRYPT","","","","TEXTBOX-CRYPT","","","0","Some gateways require the use of a transaction key, hash or password to process transactions.  If this gateway requires such a key, hash or password, enter it here.","Security"
"ecom_gateway.urltype","SYSTEM","Gateway URL Type","text","2","1","SELECT-CUSTOM","ecom.gatetype","","","SELECT-CUSTOM","ecom.gatetype","","0","This is the type of URL used by this software.  An internal URL uses this software and embedded online processing classes for processing.  An external URL uses an external URL with a relay and response transaction handling method.","Payment Gateway"
"ecom_gateway.userid","SYSTEM","Gateway User/Store ID","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","For gateways that require the use of a user id or store number, enter that here.  Any additional information required for your account is entered directly in the Form Display Code section.","Security"
"ecom_gateway.validrc","SYSTEM","Response Codes","text","250","1","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","This field is used for External URL Type processing integrations.  Enter a single, or comma-delimited list, of valid response codes transmitted by the processing gateway, or enter 'NotApplicable' for Internal URL Type integrations.  Do not include failed transaction response codes here.","Security"
"ecom_gateway.xmultisite","SYSTEM","MultiSite Limit","clob","","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","1","If MultiSite is active, you can select to display this gateway on only the MultiSites selected.  If you make no selection, this gateway will be available on all MultiSites.","Gateway Display Controls"
"ecom_giftcerts.applyorderinfo","SYSTEM","Order Application Information","clob","","0","DISPLAY-REG","","","","DISPLAY-REG","","","0","If this gift certificate was applied against any orders, order numbers and applicable amounts are displayed here.","Order Information"
"ecom_giftcerts.codevalue","SYSTEM","Remaining Value","text","20","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","1","This is the remaining value for this gift certificate.  Enter a currency amount using the base currency for this component.  When this value reaches zero (0.00) the gift certificate will become inactive.","Gift Certificate"
"ecom_giftcerts.createdate","SYSTEM","Creation Date/Time","text","30","1","DISPLAY-DATE","","","","DISPLAY-DATE","","","1","This is the date and time on which this gift certificate was created.","Dates"
"ecom_giftcerts.createorderid","SYSTEM","Original Order Number","text","50","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","The order number under which this gift certificate was issued, if it was issued with an order.","Order Information"
"ecom_giftcerts.expdate","SYSTEM","Expiration Date","text","10","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a date in the format YYYY-MM-DD (ISO 8601) on which this gift certificate will expire automatically.  If no date is entered, this gift certificate will not expire on a particular date.  This date must be entered in ISO 8601 (YYYY-MM-DD) format.","Dates"
"ecom_giftcerts.id","SYSTEM","Gift Certificate","text","150","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","This identifier is used within the software to specify this gift certificate.","Gift Certificate"
"ecom_giftcerts.initvalue","SYSTEM","Initial Value","text","20","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","1","This is the initial value for this gift certificate.  Enter a currency amount using the base currency for this component.","Gift Certificate"
"ecom_giftcerts.startdate","SYSTEM","Start Date","text","10","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a date in the format YYYY-MM-DD (ISO 8601) on which this gift certificate will become available for use.  If no date is entered, this gift certificate will be available for use immediately.  This date must be entered in ISO 8601 (YYYY-MM-DD) format.","Dates"
"ecom_giftcerts.statushold","SYSTEM","Hold Status","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","When set to true (1), this gift certificate is on hold, and is not eligible for use.","Gift Certificate"
"ecom_inventory.acctsysalt","SYSTEM","Accounting System Identifier Alternate","text","200","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"ecom_inventory.acctsysaltmod","SYSTEM","Accounting System Modification Flag Alternate","integer","1","1","HIDDEN-REG","","","0","HIDDEN-REG","","","0","","Hidden"
"ecom_inventory.acctsysasset","SYSTEM","Accounting Asset Account Reference","text","100","1","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysmap WHERE accttype='Asset'","","asset-inventory","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysmap WHERE accttype='Asset'","","0","The accounting asset account reference used for this item.","Accounting"
"ecom_inventory.acctsyscogs","SYSTEM","Accounting Cost of Goods Sold Account Reference","text","100","1","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysmap WHERE accttype='Cost of Goods Sold'","","cogs-default","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysmap WHERE accttype='Cost of Goods Sold'","","0","The accounting cost of goods sold account reference used for this item.","Accounting"
"ecom_inventory.acctsysincome","SYSTEM","Accounting Income Account Reference","text","100","1","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysmap WHERE accttype='Income'","","income-invitem","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysmap WHERE accttype='Income'","","0","The accounting income account reference used for this item.","Accounting"
"ecom_inventory.acctsyspri","SYSTEM","Accounting System Identifier Primary","text","200","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"ecom_inventory.acctsysprice","SYSTEM","Price Each (Initial and Damage Claim)","text","20","1","TEXTBOX-REG","","","1.00","TEXTBOX-REG","","","0","Enter a price for a quantity of one of this inventory item.  This price is used to configure the initial accounting price for the item, as well as to define pricing for this inventory item for damage claims.","Accounting"
"ecom_inventory.acctsysprimod","SYSTEM","Accounting System Modification Flag Primary","integer","1","1","HIDDEN-REG","","","0","HIDDEN-REG","","","0","","Hidden"
"ecom_inventory.addemtext","SYSTEM","Confirmation Email Text","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","You can enter text below to be included in order confirmation messages for orders containing this inventory item.  Do not enter XHTML tags in this confirmation email text.","Options"
"ecom_inventory.avgcosteach","SYSTEM","Average Cost Each","text","100","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This is the current cost from the vendor for this inventory item.  This field is used to aid in keeping track of profitability on orders.  This value is automatically updated when inventory is received, and by some accounting system integrations.","Accounting"
"ecom_inventory.barcode","SYSTEM","Barcode","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This is the barcode for this inventory item.  Enter a valid 8 or 13 digit EAN, or a 12 digit UPC for this inventory item.","Accounting"
"ecom_inventory.casebarcode","SYSTEM","Case Barcode","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","If this inventory item is ordered in cases, this is the barcode for the case.  This field is used to aid in ordering this inventory item from the vendor.","Accounting"
"ecom_inventory.casequantity","SYSTEM","Case Quantity","text","20","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","0","If this inventory item is ordered in cases, this is the number of inventory items per case.  If this item is not ordered in cases, enter 1, the default.  This field is used to aid in ordering this inventory item from the vendor.","Accounting"
"ecom_inventory.customdata","SYSTEM","Custom Data","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","You can enter custom data below for this inventory item which will be made available and stored with the item in orders.  This custom data is made available for custom programming purposes, and is not used by this software directly.  Suggested data format:  Comma separated list of values or name-value pairs.","Options"
"ecom_inventory.customdispoos","nick@kryptronic.com","Custom Out of Stock Display","text","180","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter custom out of stock display text to display for this inventory item when out of stock.  The default Out of Stock display will be used if this field is left blank.","Inventory - Local"
"ecom_inventory.customdispover","nick@kryptronic.com","Custom Oversell Display","text","180","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter custom oversell display text to display for this inventory item when out of stock, but being oversold.  No message will be used if this field is left blank.","Inventory - Local"
"ecom_inventory.customship","SYSTEM","Custom Shipping: Method","text","50","1","SELECT-TABLE","ecom_shipcust","","user","SELECT-TABLE","ecom_shipcust","","0","This field is used for the 'Custom Shipping Method' delivery type.  Select the method to execute for this inventory item below.","Delivery - Custom"
"ecom_inventory.delmethod","SYSTEM","Delivery Method","text","5","1","SELECT-CUSTOM","ecom.proddelmethod","","P","SELECT-CUSTOM","ecom.proddelmethod","","1","This is the delivery method for the inventory item.  This inventory item can be delivered via realtime shipping carriers, a specified item based method, a custom shipping method or a zone based method.  Select the delivery method for this inventory item below.","Delivery - Config"
"ecom_inventory.discexclusions","SYSTEM","Discount and Sale Exclusions","clob","","0","CHECKBOX-CUSTOM","ecom.discexclusionsinv","","","CHECKBOX-CUSTOM","ecom.discexclusionsinv","","0","Select discounts and sales for which this inventory item should be excluded.","Inventory Item"
"ecom_inventory.easypick","SYSTEM","Easy Pick Display Options","clob","","0","TEXTAREA-SCHEMA","name:Option Name:::1:TEXTBOX-REG:;value:Option Value:::1:TEXTBOX-REG:;hexcode:Color Hex Code:::0:TEXTBOX-REG:","","","TEXTAREA-SCHEMA","name:Feature Name:::1:TEXTBOX-REG:;value:Feature Value:::1:TEXTBOX-REG:;hexcode:Color Hex Code:::0:TEXTBOX-REG:","","0","Enter Easy Pick Display Options for this Inventory Item.  These options are used when this Inventory Item is sold in Product Offers using Easy Pick Display as the Multiple Item Display Type.","Options"
"ecom_inventory.id","SYSTEM","Identifier","text","180","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","This identifier is used within the software to specify this inventory item.  This identifier is used as the product number for this inventory item in displays with product numbers enabled.  Do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the underscore character.","Inventory Item"
"ecom_inventory.imgsm","SYSTEM","Small Product Image","text","100","0","FILE-UPLOAD","{PUBLIC}/media/ecom/invsm","","","FILE-UPLOAD","{PUBLIC}/media/ecom/invsm","","0","This image is used as a thumbnail image for this inventory item.","Inventory Item"
"ecom_inventory.invautonegchannel","SYSTEM","Local Inventory Level Reduction: eCommerce Channels","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","0","Enter an inventory level reduction for ecommerce channels to reduce the local inventory reported to those channels.","Inventory - Local"
"ecom_inventory.invautonegwhl","SYSTEM","Local Inventory Level Reduction: Wholesale","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","0","Enter an inventory level reduction for wholesale users to reduce the local inventory reported to those users.","Inventory - Local"
"ecom_inventory.invitemincquan","SYSTEM","Purchases: Quantity Increment (aka Pack Size)","integer","10","1","TEXTBOX-SMALL","","","0","TEXTBOX-SMALL","","","0","Enter a quantity increment to require specific quantities to add the item to a shopping cart.  If used in conjunction with a minimum quantity, the quantity multiplier and minimum quantity should be equal.  Enter zero (0) to disable this feature.  Applicable to Inventory Item type offers in the Online Store (default channel) only.  Disabled for Inventory Item AddOns.  Quantity Rules Enforcement must be activated under General Store Settings.","Inventory - Config"
"ecom_inventory.invitemmaxquan","SYSTEM","Purchases: Maximum Quantity","integer","10","1","TEXTBOX-SMALL","","","0","TEXTBOX-SMALL","","","0","Enter a maximum quantity to enforce a maximum quantity allowed in a shopping cart.  Enter zero (0) to disable this feature.  If used, the maximum quantity must be greater than the minimum quantity, and it will be automatically adjusted to respect quantity increments.  Applicable to all offer types in the Online Store (default channel).  Disabled for Inventory Item AddOns.  Quantity Rules Enforcement must be activated under General Store Settings.","Inventory - Config"
"ecom_inventory.invitemminquan","SYSTEM","Purchases: Minimum Quantity Allowed","integer","10","1","TEXTBOX-SMALL","","","0","TEXTBOX-SMALL","","","0","Enter a minimum quantity to enforce a minimum quantity required to add the item to a shopping cart.  Enter zero (0) to disable this feature.  If used in conjunction with a quantity multiplier, the minimum quantity and quantity multiplier should be equal.  Applicable to Inventory Item type offers in the Online Store (default channel) only.  Disabled for Inventory Item AddOns.  Quantity Rules Enforcement must be activated under General Store Settings.","Inventory - Config"
"ecom_inventory.invlevel","SYSTEM","Local Inventory Level","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","1","This is the local warehouse inventory level for the inventory item.  Enter as '0' if not used, or to set inventory to zero.","Inventory - Local"
"ecom_inventory.invoversell","SYSTEM","Local Inventory Oversell","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","1","This is the local warehouse oversell level for the inventory item.  If a level greater than zero is entered, and this inventory item is set up as a local inventoried item, inventory can decline into the negative up to this level.  Enter as '0' to disable.","Inventory - Local"
"ecom_inventory.invpurchord","SYSTEM","Local Inventory on Purchase Order","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","0","This is the inventory on purchase order (purchased but not yet received) for this inventory item.","Inventory - Local"
"ecom_inventory.invsalesorder","SYSTEM","Local Inventory on Sales Order (Sold)","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","1","This is the inventory on sales order (sold but not yet shipped/declined) for this inventory item.  This inventory level is used to calculate how many items in inventory can be sold.","Inventory - Local"
"ecom_inventory.invshipmanager","SYSTEM","Local Inventory Batched (via Shipping Manager)","text","20","1","TEXTBOX-REG","","","0","TEXTBOX-REG","","","0","This is the inventory on sales order (sold but not yet shipped/declined) for this inventory item which has been batched by a shipping manager for shipping.","Inventory - Local"
"ecom_inventory.invtype","SYSTEM","Inventory Type","text","20","1","SELECT-CUSTOM","ecom.inventorytypes","","LOCALUNL","SELECT-CUSTOM","ecom.inventorytypes","","1","Indicate the inventory type for this inventory item.","Inventory - Config"
"ecom_inventory.manufacturer","SYSTEM","Manufacturer","text","250","1","SELECT-TABLE","ecom_manus","","DEFAULT","SELECT-TABLE","ecom_manus","","1","This is the manufacturer for this inventory item.  This field is used to control discounting for wholesale orders.","Inventory Item"
"ecom_inventory.mapprice","SYSTEM","Retail Minimum Advertised Price Allowed (MAP) Each","text","100","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This is the retail minimum advertised price (MAP) for this inventory item.  This field is used to aid in ensuring minimum advertised pricing rules from manufacturers are followed.  This software will not automatically adjust pricing based on MAP, instead this field is used for reporting purposes only.","Accounting"
"ecom_inventory.mappricewhl","SYSTEM","Wholesale Minimum Advertised Price Allowed (MAP) Each","text","100","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This is the wholesale minimum advertised price (MAP) for this inventory item.  This field is used to aid in ensuring minimum advertised pricing rules from manufacturers are followed.  This software will not automatically adjust pricing based on MAP, instead this field is used for reporting purposes only.","Accounting"
"ecom_inventory.name","SYSTEM","Display Name","text","100","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This is the display name for this inventory item.","Inventory Item"
"ecom_inventory.notifystock","SYSTEM","Stock Notification Email List","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","The stock notification email list contains a comma-delimited list of email addresses, which will be notified when this item is available.  Email addresses can be added manually using this interface, or automatically by users by completing the In Stock Notification form on the detail page for a Catalog Product.","Inventory - Config"
"ecom_inventory.prodnum","SYSTEM","Item Number","text","100","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This is the item number for this inventory item.  This number is used in some displays to identify the inventory item.","Inventory Item"
"ecom_inventory.purchcostdropeach","SYSTEM","Purchase Cost Each (Dropshipped)","text","100","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This is the current cost from the vendor for this inventory item for dropshipped inventory.  This field is used to aid in ordering inventory items from vendors.  This value is automatically updated when inventory is ordered, and by some accounting system integrations.","Accounting"
"ecom_inventory.purchcosteach","SYSTEM","Purchase Cost Each (Local Inventory)","text","100","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This is the current cost from the vendor for this inventory item for local inventory.  This field is used to aid in ordering inventory items from vendors.  This value is automatically updated when inventory is ordered, and by some accounting system integrations.","Accounting"
"ecom_inventory.servreq","SYSTEM","Servicing Required","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) if orders for this inventory item need to be serviced before being shipped.  Select false (0) if this item does not require servicing.  Servicing is applicable only to items being shipped from the local warehouse.","Delivery - Config"
"ecom_inventory.shipfreethreshtrigger","SYSTEM","Auto Trigger Free Shipping Threshold","text","20","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Setting this field to true (1) will automatically trigger the free shipping threshold when this item is present in the order.  Setting to false (0) will use the item total when calculating the free shipping threshold.  This field is useful to provide grace for items that nearly meet the free shipping threshold.","Delivery - Config"
"ecom_inventory.shipheight","SYSTEM","Realtime, Custom and Zone: Item Height","text","10","1","TEXTBOX-REG","","","1.0","TEXTBOX-REG","","","0","This field is used for the 'Realtime Carrier', 'Custom Shipping' and 'Zone Based Shipping' delivery types.  Enter a height for this item.  This dimension should be entered in inches (IN) or centimeters (CM) depending on the global dimension setting.","Dimensions"
"ecom_inventory.shipint","SYSTEM","Realtime: International Delivery Carrier","text","40","1","CHECKBOX-TABLE","SELECT {COLS} FROM ecom_shiprealtime WHERE hasrates='1'","","UPSTOOLS","CHECKBOX-TABLE","SELECT {COLS} FROM ecom_shiprealtime WHERE hasrates='1'","","0","This field is used for the 'Realtime Carrier' delivery type.  Select one or more carriers to use for international (out-of-country) orders of this item.","Delivery - Realtime"
"ecom_inventory.shiplength","SYSTEM","Realtime, Custom and Zone: Item Length","text","10","1","TEXTBOX-REG","","","1.0","TEXTBOX-REG","","","0","This field is used for the 'Realtime Carrier', 'Custom Shipping' and 'Zone Based Shipping' delivery types.  Enter a length for this item.  This dimension should be entered in inches (IN) or centimeters (CM) depending on the global dimension setting.","Dimensions"
"ecom_inventory.shiplocal","SYSTEM","Realtime: Local Delivery Carrier","text","40","1","CHECKBOX-TABLE","SELECT {COLS} FROM ecom_shiprealtime WHERE hasrates='1'","","UPSTOOLS","CHECKBOX-TABLE","SELECT {COLS} FROM ecom_shiprealtime WHERE hasrates='1'","","0","This field is used for the 'Realtime Carrier' delivery type.  Select one or more carriers to use for local (in-country) orders of this item.","Delivery - Realtime"
"ecom_inventory.shipmustrate","SYSTEM","Always Rate Item","text","20","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Setting this field to true (1) will include shipping charges for this item, even if free shipping is active.  Setting to false (0) will allow this item to ship free when free shipping is active.","Delivery - Config"
"ecom_inventory.shipnest","SYSTEM","Realtime, Custom and Zone: Additional Item Nesting Height","text","10","1","TEXTBOX-REG","","","0.0","TEXTBOX-REG","","","0","This field is used for the 'Realtime Carrier', 'Custom Shipping' and 'Zone Based Shipping' delivery types.  Enter a nesting height for additional quantities of this item, if this item can be nested.  This dimension should be entered in inches (IN) or centimeters (CM) depending on the global dimension setting.  Enter '0.0' to disable this feature and use actual height for additional quantities of this item.","Dimensions"
"ecom_inventory.shipnumbox","SYSTEM","Number of Boxes","text","5","1","SELECT-CUSTOM","ecom.prodshiprtboxes","","0","SELECT-CUSTOM","ecom.prodshiprtboxes","","0","This field is used for the 'Realtime Carrier', 'Custom Shipping' and 'Zone Based Shipping' delivery types.  Select how many boxes this item is shipped in.","Delivery - Config"
"ecom_inventory.shiponename","SYSTEM","Item Based: Method 1 Name","text","100","1","TEXTBOX-REG","","","Standard Carrier","TEXTBOX-REG","","","0","This field is used for the 'Item Based Shipping' delivery type.  Enter a name below for the first item based shipping method.","Delivery - Item Based"
"ecom_inventory.shiponeprice","SYSTEM","Item Based: Method 1 Price","text","10","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This field is used for the 'Item Based Shipping' delivery type.  Enter a price below which is associated with the Method 1 Name shipping option.","Delivery - Item Based"
"ecom_inventory.shipthreename","SYSTEM","Item Based: Method 3 Name","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This field is used for the 'Item Based Shipping' delivery type.  Enter a name below for the third item based shipping method.","Delivery - Item Based"
"ecom_inventory.shipthreeprice","SYSTEM","Item Based: Method 3 Price","text","10","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This field is used for the 'Item Based Shipping' delivery type.  Enter a price below which is associated with the Method 3 Name shipping option.","Delivery - Item Based"
"ecom_inventory.shiptwoname","SYSTEM","Item Based: Method 2 Name","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This field is used for the 'Item Based Shipping' delivery type.  Enter a name below for the second item based shipping method.","Delivery - Item Based"
"ecom_inventory.shiptwoprice","SYSTEM","Item Based: Method 2 Price","text","10","1","TEXTBOX-REG","","","0.00","TEXTBOX-REG","","","0","This field is used for the 'Item Based Shipping' delivery type.  Enter a price below which is associated with the Method 2 Name shipping option.","Delivery - Item Based"
"ecom_inventory.shipweight","SYSTEM","Realtime, Custom and Zone: Item Weight","text","10","1","TEXTBOX-REG","","","1.000","TEXTBOX-REG","","","0","This field is used for the 'Realtime Carrier', 'Custom Shipping' and 'Zone Based Shipping' delivery types.  Enter a weight for this item.  This weight should be entered in pounds (LB) or kilograms (KG) depending on the global weight setting.","Dimensions"
"ecom_inventory.shipwidth","SYSTEM","Realtime, Custom and Zone: Item Width","text","10","1","TEXTBOX-REG","","","1.0","TEXTBOX-REG","","","0","This field is used for the 'Realtime Carrier', 'Custom Shipping' and 'Zone Based Shipping' delivery types.  Enter a width for this item.  This dimension should be entered in inches (IN) or centimeters (CM) depending on the global dimension setting.","Dimensions"
"ecom_inventory.suppressreport","SYSTEM","Suppress Purchasing and Reporting","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to suppress display of this inventory item when creating purchase orders and in inventory reports.  Select false (0) to ensure this item is presented.","Inventory Item"
"ecom_inventory.vendordesc","SYSTEM","Vendor Item Description","text","200","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This is the vendor's item description for this inventory item.  This field is used to aid in ordering this inventory item from the vendor.  If an entry is not made, the inventory item name will be used.","Accounting"
"ecom_inventory.vendorid","SYSTEM","Vendor","text","250","1","SELECT-TABLE","ecom_vendors","","DEFAULT","SELECT-TABLE","ecom_vendors","","0","Select the vendor for this inventory item.  This field is used to aid in ordering this inventory item from the vendor.  The vendor's location and email is used for dropshipping this item.","Accounting"
