"id","name","description","fieldtype","fieldinclude","required","fieldorder","section","optsel"
"DigiBan440","Select Size of Roll","<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>
","CHECKBOX-CUSTOM","","1","1","Prices are per roll","500mm x 30m Roll|39.10|0.00|0|STANDARD|STANDARD|STANDARD|
760mm x 30m Roll|49.30|0.00|0|STANDARD|STANDARD|STANDARD|
1100mm x 30m Roll|64.50|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 30m Roll|80.30|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 30m Roll|109.80|0.00|0|STANDARD|STANDARD|STANDARD|"
"DigiBan450C","Select Size of Roll","<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1370mm x 30m Roll|109.10|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 30m Roll|142.80|0.00|0|STANDARD|STANDARD|STANDARD|"
"DigiBanBO","Select Size of Roll","<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1370mm x 30m Roll|186.60|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 30m Roll|233.30|0.00|0|STANDARD|STANDARD|STANDARD|"
"DigiPap115","Select Size of Roll","Please select size or roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1370mm x 100m Roll|68.90|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 100m Roll|75.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"DigiPap200","Select Size of Roll","<p>Please select size and quantity of rolls required.</p>
<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>","CHECKBOX-CUSTOM","","1","1","Prices are per roll","500mm x 50m roll|46.60|0.00|0|STANDARD|STANDARD|STANDARD|
760mm x 50m roll|58.30|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m roll|99.85|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 50m roll|131.40|0.00|0|STANDARD|STANDARD|STANDARD|"
"Digi_Fab","Select Size of Roll","Please select size of roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1067mm x 15m Roll|139.80|0.00|0|STANDARD|STANDARD|STANDARD|
1067mm x 30m Roll|251.64|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 15m Roll|179.70|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 30m Roll|323.46|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 15m Roll|199.50|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 30m Roll|359.10|0.00|0|STANDARD|STANDARD|STANDARD|"
"Digi_Fab_Aq","Select Size of Roll","Please select size of roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll","610mm x 30m Roll|123.50|0.00|0|STANDARD|STANDARD|STANDARD|
914mm x 30m Roll|185.20|0.00|0|STANDARD|STANDARD|STANDARD|
1067mm x 30m Roll|215.60|0.00|0|STANDARD|STANDARD|STANDARD|
1270mm x 30m Roll|255.90|0.00|0|STANDARD|STANDARD|STANDARD|
1524mm x 30m Roll|307.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"dj100","Select Size & Quantity of Rolls","<p>Please select size and quantity of rolls required.</p>
<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>","CHECKBOX-CUSTOM","","1","1","Prices are per roll","760mm x 50m|81.30|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m|146.40|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 50m|185|0.00|0|STANDARD|STANDARD|STANDARD|"
"dj100r","Select Size & Quantity of Rolls","<p>Please select size and quantity of rolls required.</p>
<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1370mm x 50m|146.40|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 50m|185.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"DJ100R_Finish","Choose Finish Below","Please select either White Gloss, White Matt or Clear Gloss","CHECKBOX-CUSTOM","","1","1","Finish Options","Gloss White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Matt White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"dv","Select Size of Roll","Please select size of roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1370mm x 5m Roll|50.90|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m Roll|483.55|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 5m Roll|59.70|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 50m Roll|567.15|0.00|0|STANDARD|STANDARD|STANDARD|"
"dwwb","Select Length of Roll","Please select length of roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll at 1370mm wide","1370mm x 5m Roll|77.70|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 25m Roll|349.65|0.00|0|STANDARD|STANDARD|STANDARD|"
"D_Fabric","Select Size of Roll","Please select size of roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll","210gsm - 1370mm x 30m Roll|186.86|148.93|0|STANDARD|STANDARD|STANDARD|
300gsm - 1370mm x 50m Roll|331.07|281.41|0|STANDARD|STANDARD|STANDARD|
300gsm - 3200mm x 50m|761.42|647.21|0|STANDARD|STANDARD|STANDARD|"
"Easy-Dot-matt_gloss","Choose Colour Below","","CHECKBOX-CUSTOM","","1","1","Colour Options","Matt White 6030349|220.40|0.00|0|STANDARD|STANDARD|STANDARD|
Clear Matt 6032517|233.70|0.00|0|STANDARD|STANDARD|STANDARD|"
"Easy-Dot-PP","Choose Colour Below","Please select required colour below","CHECKBOX-CUSTOM","","1","1","Colour Options","Transparent 6042598|272.60|0.00|0|STANDARD|STANDARD|STANDARD|"
"EASYMOUNT","Choose Size Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);""> CLICK TO ENLARGE</span><br>

<a href=""media/ecom/prodxl/EM-1200.jpg"" rel=""lightbox clearbox"" title=""Easymount 1200""><img src=""media/ecom/prodsm/EM-1200.jpg"" /></a>

<a href=""media/ecom/prodxl/EM-1400.jpg"" rel=""lightbox clearbox"" title=""Easymount 1400""><img src=""media/ecom/prodsm/EM-1400.jpg"" /></a>

<a href=""media/ecom/prodxl/EM-1600.jpg"" rel=""lightbox clearbox"" title=""Easymount 1600""><img src=""media/ecom/prodsm/EM-1600.jpg"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT YOUR REQUIREMENT BELOW:</span>","CHECKBOX-CUSTOM","","1","10","Item Options","Easymount 1200|3505.00|0.00|0|STANDARD|STANDARD|STANDARD|
Easymount 1400|3775.00|0.00|0|STANDARD|STANDARD|STANDARD|
Easymount 1600|4315.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"EASYMOUNT-SIGN","Choose Size Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);""> CLICK TO ENLARGE</span><br>

<a href=""media/ecom/prodxl/EMS-650.jpg"" rel=""lightbox clearbox"" title=""Easymount Sign 650""><img src=""media/ecom/prodsm/EMS-650.jpg"" /></a>

<a href=""media/ecom/prodxl/EMS-880.jpg"" rel=""lightbox clearbox"" title=""Easymount Sign 880""><img src=""media/ecom/prodsm/EMS-880.jpg"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT YOUR REQUIREMENT BELOW:</span>","CHECKBOX-CUSTOM","","1","10","Item Options","Easymount Sign 650 Cold|625.50|0.00|0|STANDARD|STANDARD|STANDARD|
Easymount Sign 880 Cold|1695.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXINDOOR1220","or 1220mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1220mm wide by the metre or by the roll here","part roll - per mtr|11.24|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|452.43|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXINDOOR1370","or 1370mm wide:","","CHECKBOX-CUSTOM","","0","3","Order 1370mm wide by the metre or by the roll here","part roll - price per mtr|12.58|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|506.36|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXINDOOR610","Please select either 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|5.62|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|226.22|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXINDOOR610ONLY","Please select from 610mm wide:","","CHECKBOX-CUSTOM","","1","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|5.62|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|226.22|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXISEE2INDOOR1220","Select here for 1220mm wide:","","CHECKBOX-CUSTOM","","0","3","Order 1220mm wide by the metre or by the roll here","part roll - price per mtr|11.54|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|508|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXISEE2INDOOR1370","Select here for 1370mm wide:","","CHECKBOX-CUSTOM","","0","4","Order 1370mm wide by the metre or by the roll here","part roll - price per mtr|12.94|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|569.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXISEE2INDOOR1520","Select here for 1520mm wide:","","CHECKBOX-CUSTOM","","0","5","Order 1520mm wide by the metre or by the roll here","part roll - price per mtr|14.42|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|635|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXISEE2INDOOR610","Select here for 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|5.77|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|254|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXISEE2INDOOR760","Select here for 760mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 760mm wide by the metre or by the roll here","part roll - price per mtr|7.21|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|317.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXOUTDOOR1220","or 1220mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1220mm wide by the metre or by the roll here","part roll - per mtr|22.68|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|912.17|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXOUTDOOR610","Please select either 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|11.34|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|456.09|0.00|0|STANDARD|STANDARD|STANDARD|"
"EFXOUTDOOR610ONLY","Please select from 610mm wide:","","CHECKBOX-CUSTOM","","1","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|11.34|0.00|0|STANDARD|STANDARD|STANDARD|
full 45.7 mtr roll|456.09|0.00|0|STANDARD|STANDARD|STANDARD|"
"egl","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","500mm x 50m|57.40|0.00|0|STANDARD|STANDARD|STANDARD|
760mm x 50m|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m|105.40|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 50m|114.70|0.00|0|STANDARD|STANDARD|STANDARD|"
"EL300DFL300","SPECIAL OFFER - Please Select Roll","SPECIAL OFFER - Please select roll below","RADIO-CUSTOM","","0","1","Item Options","EL300 OFFER 1260mm x 10m Roll|75.76|0.00|0|STANDARD|STANDARD|STANDARD|
EL300 OFFER 1520mm x 10m Roll|90.56|0.00|0|STANDARD|STANDARD|STANDARD|
DFL300 OFFER 1370mm x 10m Roll|72.80|0.00|0|STANDARD|STANDARD|STANDARD|"
"eml","Choose Size Below","<p>Please select size of roll required.</p>
<p>The 1600mm wide roll price includes a special non-conveyable delivery charge due to its size.</p>","CHECKBOX-CUSTOM","","1","10","Prices are per roll","760mm x 50m|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m|105.40|0.00|0|STANDARD|STANDARD|STANDARD|
1600mm x 50m|137.80|0.00|0|STANDARD|STANDARD|STANDARD|"
"ff200","Select Size of Roll","Please select size of roll below","CHECKBOX-CUSTOM","","1","1","Prices are per roll at 1270mm wide","1260mm x 25m Roll|190.00|0.00|0|STANDARD|STANDARD|STANDARD|
1260mm x 50m Roll|361.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"FF400","Choose Roll Size Below","Please select the size of Aslan FF400 below:","CHECKBOX-CUSTOM","","1","1","Prices are per roll","1010mm x 12.5m|164.22|144.51|0|STANDARD|STANDARD|STANDARD|
1370mm x 8m|158.20|139.22|0|STANDARD|STANDARD|STANDARD|"
"flatmatt","Choose Size Below","Please select the size or roll required.","CHECKBOX-CUSTOM","","1","10","Prices are per roll","1300mm x 50m Roll|119.70|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 50m Roll|139.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Floorappeal","Select Type & Quantity of Rolls","<p>Prices are per 1370mm x 30m roll. Please select type of adhesive and quantity of rolls required.</p>
<li>Low Tac (LT) is designed for indoor use on to smooth surfaces such as tiling, laminate flooring, smooth wood and exhibition grade carpeting
<li>High Tac (HT) is suitable for outdoor smooth surfaces such as paving slabs, brick, fine concrete and untreated natural stone
<li>Extreme Tac (HTX) offers ultimate grip to rough surfaces such as asphalt, rough brick and aging concrete","CHECKBOX-CUSTOM","","1","1","Prices are for a 1370mm x 30m roll","LT - Low Tac Removable|425.90|0.00|0|STANDARD|STANDARD|STANDARD|
HT - High Tac Removable|425.90|0.00|0|STANDARD|STANDARD|STANDARD|
HTX - Extreme Tac Removable|552.25|0.00|0|STANDARD|STANDARD|STANDARD|"
"Fluorescent_1220","or 1220mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 625mm wide by the metre or by the roll here","part roll - price per mtr|15.38|0.00|0|STANDARD|STANDARD|STANDARD|
full 25 mtr roll|346|0.00|0|STANDARD|STANDARD|STANDARD|"
"Fluorescent_610","Please select either 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 625mm wide by the metre or by the roll here","part roll - price per mtr|7.69|0.00|0|STANDARD|STANDARD|STANDARD|
full 25 mtr roll|173|0.00|0|STANDARD|STANDARD|STANDARD|"
"Foam_10_Sizes","Select Cut Sizes","Please select from list below:","RADIO-CUSTOM","","0","10","Item Options","Up to 4 cuts included|39.45|0.00|0|STANDARD|STANDARD|STANDARD|
More than 4 cuts required|39.95|0.00|0|STANDARD|STANDARD|STANDARD|"
"Foam_3_Sizes","Select Cut Sizes","Please select from list below:","RADIO-CUSTOM","","0","10","Item Options","Up to 4 cuts included|12.00|0.00|0|STANDARD|STANDARD|STANDARD|
More than 4 cuts required|12.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"Foam_5_Sizes","Select Cut Sizes","Please select from list below:","RADIO-CUSTOM","","0","10","Item Options","Up to 4 cuts included|19.98|0.00|0|STANDARD|STANDARD|STANDARD|
More than 4 cuts required|20.48|0.00|0|STANDARD|STANDARD|STANDARD|"
"Foam_Bespoke_Sizes","Describe Cut Sizes","If you have selected to have one or two cuts or would like us to cut the board to your exact requirements, please type your cut sizes here:","TEXTAREA-SMALL","","0","20","Item Options",""
"F_LP1","Choose finish","Choose finish of LP1 Media","RADIO-CUSTOM","","1","10","Item Options","Gloss White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Matt White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"F_LP2","Choose finish","Choose finish of LP2 Media","RADIO-CUSTOM","","1","10","Item Options","White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Clear|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"GEMSTONE1220","or 1220mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1220mm wide by the metre or by the roll here","per metre|23.52|0.00|0|STANDARD|STANDARD|STANDARD|
per 25 metre roll|529.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"GEMSTONE610","Please select either 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 610mm wide by the metre or by the roll here","per metre|11.76|0.00|0|STANDARD|STANDARD|STANDARD|
per 25 metre roll|264.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"GlassApeel","Select Type & Quantity of Rolls","<p>Please select type of adhesive and quantity of rolls required.</p>
","CHECKBOX-CUSTOM","","1","1","Prices are for a 1370mm x 30m roll","Transparent 1370mm x 10m|93.00|0.00|1|STANDARD|STANDARD|STANDARD|
Transparent 1370mm x 30m|251.10|0.00|3|STANDARD|STANDARD|STANDARD|
White 1370mm x 10m|105.00|0.00|1|STANDARD|STANDARD|STANDARD|
White 1370mm x 30m|283.50|0.00|3|STANDARD|STANDARD|STANDARD|
Frosted 1370mm x 10m|93.00|0.00|0|STANDARD|STANDARD|STANDARD|
Frosted 1370mm x 30m|251.10|0.00|0|STANDARD|STANDARD|STANDARD|
Solar UV 1370mm x 10m|127.50|0.00|0|STANDARD|STANDARD|STANDARD|
Solar UV 1370mm x 30m|344.25|0.00|0|STANDARD|STANDARD|STANDARD|"
"GLITTER1220","1220mm wide","","CHECKBOX-CUSTOM","","1","2","Order 1220mm wide by the metre or by the roll here","per metre|34.64|0|0|STANDARD|STANDARD|STANDARD|
per 30 metre roll|987.00|0|0|STANDARD|STANDARD|STANDARD|"
"gloss_cleargloss","Choose Colour Below","Please select White Gloss, White Matt or Clear Gloss below","CHECKBOX-CUSTOM","","1","1","Colour Options","Gloss White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"gloss_gloss_matt_matt","Choose Colour Below","Please select required colour below:","CHECKBOX-CUSTOM","","1","1","Colour Options","PP900 Gloss White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PP920 Gloss White (Grey adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PP905 Matt White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PP925 Matt White (Grey adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"gloss_matt","Choose Finish Below","Please select Gloss or Matt below:","CHECKBOX-CUSTOM","","1","15","Finish Options","Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Matt|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"gloss_matt_cleargloss","Choose Finish Below","Please select either White Gloss, White Matt or Clear Gloss below","CHECKBOX-CUSTOM","","1","1","Finish Options","Gloss White (Grey Adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Matt White (Grey Adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"gloss_matt_cleargloss_glossgrey","Choose Colour Below","Please select required colour below","CHECKBOX-CUSTOM","","1","1","Colour Options","PP800 Gloss White (Not available in 1524mm)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PP820 Gloss White (Grey adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PP805 Matt White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PP810 Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"gloss_satin","Choose Finish Below","Please select Gloss or Satin below:","CHECKBOX-CUSTOM","","1","1","Finish Options","Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Satin|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"GRAPHTEC_SMART","Choose type of cutting blade:","<p>Choose the correct blade for the type of material that you are cutting.</p>
","RADIO-CUSTOM","","1","10","Item Options","GSK09V for cutting standard vinyl & heat transfer vinyl (Blue collar)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
GSK09F for cutting thicker materials including laminated vinyl, reflective, glitter, some sandblast films and flock  (Red collar)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
GSK15F for cutting the thickest sandblast stencil films (Green collar)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Heat_Press_Pillows","Choose Size Below","","CHECKBOX-CUSTOM","","1","10","Item Options","20cm x 16cm|25.00|0.00|0|STANDARD|STANDARD|STANDARD|
25cm x 25cm|25.00|0.00|0|STANDARD|STANDARD|STANDARD|
46cm x 13cm|25.00|0.00|0|STANDARD|STANDARD|STANDARD|
51cm x 41cm|40.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Hotronix_Auto_Open_Clam","Choose Size Below","All presses have over the centre pressure adjustment for even edge to edge heat and pressure.","CHECKBOX-CUSTOM","","1","10","Item Options","STX11 38cm x 28cm|1130|0.00|0|STANDARD|STANDARD|STANDARD|
STX16 40cm x 40cm|1450|0.00|0|STANDARD|STANDARD|STANDARD|
STX20 50cm x 40cm|1720|0.00|0|STANDARD|STANDARD|STANDARD|"
"Hotronix_Caddies","Choose Type Below","","CHECKBOX-CUSTOM","","1","10","Item Options","Heat Press Caddie™ Stand|470|0.00|0|STANDARD|STANDARD|STANDARD|"
"Hotronix_Clam_Basic","Choose Size Below","Best Price - Best Quality - Guaranteed.","RADIO-CUSTOM","","1","10","Item Options","OPP11 38cm x 28cm|357.95|0.00|0|STANDARD|STANDARD|STANDARD|
OPP15 38cm x 38cm|426.15|0.00|0|STANDARD|STANDARD|STANDARD|
OPP20 50cm x 40cm|528.40|0.00|0|STANDARD|STANDARD|STANDARD|"
"Hotronix_Maxx_Clam","Choose Size Below","All presses have over the centre pressure adjustment for even edge to edge heat and pressure.","CHECKBOX-CUSTOM","","1","10","Item Options","MAXX11 38cm x 28cm|740|0.00|0|STANDARD|STANDARD|STANDARD|
MAXX15 38cm x 38cm|990|0.00|0|STANDARD|STANDARD|STANDARD|
MAXX20 50cm x 40cm|1250|0.00|0|STANDARD|STANDARD|STANDARD|"
"Hotronix_Platens","Choose Size Below","","CHECKBOX-CUSTOM","","1","10","Item Options","Tag Along Platen|390.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Hotronix_Platen_Protectors","Choose Size Below","","CHECKBOX-CUSTOM","","1","10","Item Options","25cm x 15cm to fit Mini Platen|40.00|0.00|0|STANDARD|STANDARD|STANDARD|
25cm x 20cm to fit Half Platen|45.00|0.00|0|STANDARD|STANDARD|STANDARD|
38cm x 28cm to fit Mid Platen, MAXX11 & STX11 Heatpress|45.00|0.00|0|STANDARD|STANDARD|STANDARD|
38cm x 38cm to fit  MAXX15 Heatpress|47.00|0.00|0|STANDARD|STANDARD|STANDARD|
40cm x 40cm to fit STX16 Heatpress|50.00|0.00|0|STANDARD|STANDARD|STANDARD|
51cm x 15cm to fit Sleeve / Leg Platen|55.00|0.00|0|STANDARD|STANDARD|STANDARD|
50cm x 40cm to fit MAXX20 & STX20 Heatpress|60.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"isee2_Carbon","Select Roll Size","<span style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT SIZE OF ROLL BELOW:</span>
","RADIO-CUSTOM","","1","10","Item Options","1524mm x 5m|134.72|0.00|0|STANDARD|STANDARD|STANDARD|
1524mm x 25m|635.47|0.00|0|STANDARD|STANDARD|STANDARD|"
