Status,Product,Option,"Website code (old)","Your SKU / Resolution",Price,"What we did / what we need from you"
"DONE - SAGE CODE APPLIED","Mini Power Tabs",,21004,MINPOW,19.07,"SKU on the site changed from ""21004"" to your Sage code ""MINPOW"". No further action needed."
"FYI - CODE ALREADY ON THE PRODUCT","Moka Glitter","per 30 metre roll",GL16-sz02,GL16,987.0,"Sage code ""GL16"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Moka Glitter","per metre",GL16-sz01,"Q DISC FOR 30",34.64,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","Mutoh Plotter Cutting Blades","MSC 500V :: Sprung blade",Mutoh_Plotter_Blade-sz01,MSC500V,13.55,"SKU on the site changed from ""Mutoh_Plotter_Blade-sz01"" to your Sage code ""MSC500V"". No further action needed."
"DONE - SAGE CODE APPLIED","Mutoh Plotter Cutting Blades","V500V :: Plain blade",Mutoh_Plotter_Blade-sz02,V500V,13.55,"SKU on the site changed from ""Mutoh_Plotter_Blade-sz02"" to your Sage code ""V500V"". No further action needed."
"NEEDS DECISION - MULTIPLE CODES","Mutoh Smart Knives",,Mutoh_Smart_Knives-sz01,"MSK500V / MSK500F / MSK750F",25.0,"You listed more than one Sage code here (""MSK500V / MSK500F / MSK750F""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NOT APPLIED - CANNOT FIND PRODUCT","Mutoh Smart Knives",,Mutoh_Smart_Knives-sz02,"NEW OR EXCHANGE",12.5,"You gave Sage code ""NEW OR EXCHANGE"", but we could not find a live item on the site with the old code ""Mutoh_Smart_Knives-sz02"" (it may have been renamed or restructured since the export). Please confirm this product still exists."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz01,,3.54,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz02,,5.73,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz03,,7.98,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz04,,8.19,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz05,,40.95,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz06,,11.4,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz07,,57.0,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz08,,18.24,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz09,,91.2,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"FYI - CODE ALREADY ON THE PRODUCT","Navy Blue Glitter","1220mm wide — per 30 metre roll",GL15-sz11,GL15,987.0,"Sage code ""GL15"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Navy Blue Glitter","1220mm wide — per metre",GL15-sz10,"Q DISC FOR 30",34.64,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - REMOVED FROM SITE","NE51 Champagne Silver","full roll - 1220mm x 50 mtr","Cover Styl' NE51-sz02",,1496.25,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","NE51 Champagne Silver","part roll - price per mtr at 1220mm","Cover Styl' NE51-sz01",,33.25,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","NE72 Arabesque","full roll - 1220mm x 50 mtr","Cover Styl' NE72-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","NE72 Arabesque","part roll - price per mtr at 1220mm","Cover Styl' NE72-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - SAGE CODE APPLIED","Neschen Easy Dot – Digital Print Vinyl","Neschen Easy Dot - Digital Print Vinyl - Choose Colour Below — Clear Matt 6032517",EASYDOT-sz02,EASYDOTCMATT1370,233.7,"SKU on the site changed from ""EASYDOT-sz02"" to your Sage code ""EASYDOTCMATT1370"". No further action needed."
"DONE - SAGE CODE APPLIED","Neschen Easy Dot – Digital Print Vinyl","Neschen Easy Dot - Digital Print Vinyl - Choose Colour Below — Matt White 6030349",EASYDOT-sz01,EASYDOTWMATT1370,220.4,"SKU on the site changed from ""EASYDOT-sz01"" to your Sage code ""EASYDOTWMATT1370"". No further action needed."
"DONE - SAGE CODE APPLIED","Neschen UVprint Easy Dot PP – Digital Print Vinyl","Neschen UVprint Easy Dot PP - Digital Print Vinyl - Choose Colour Below — Transparent 6042598",EASYDOTPP-sz01,EASYDOTPPTRANS,272.6,"SKU on the site changed from ""EASYDOTPP-sz01"" to your Sage code ""EASYDOTPPTRANS"". No further action needed."
"DONE - REMOVED FROM SITE","NF06 Blues","full roll - 1220mm x 50 mtr","Cover Styl' NF06-sz02",,855.0,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","NF06 Blues","part roll - price per mtr at 1220mm","Cover Styl' NF06-sz01",,19.0,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","NH36 Bronze patina","full roll - 1220mm x 50 mtr","Cover Styl' NH36-sz02",,1496.25,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","NH36 Bronze patina","part roll - price per mtr at 1220mm","Cover Styl' NH36-sz01",,33.25,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - SAGE CODE APPLIED","OLFA®  Premium Art Knife",,AK-4,AK4,11.5,"SKU on the site changed from ""AK-4"" to your Sage code ""AK4"". No further action needed."
"DONE - SAGE CODE APPLIED","OLFA® Art Knife",,AK-1,AK1,5.9,"SKU on the site changed from ""AK-1"" to your Sage code ""AK1"". No further action needed."
"DONE - SAGE CODE APPLIED","OLFA® RTY2DX Rotary Knife",,RTY-2/DX,RTY-2,15.7,"SKU on the site changed from ""RTY-2/DX"" to your Sage code ""RTY-2"". No further action needed."
"DONE - SAGE CODE APPLIED","OLFA® SAC1 Graphic Precision Knife",,SAC-1,SAC1,7.3,"SKU on the site changed from ""SAC-1"" to your Sage code ""SAC1"". No further action needed."
"DONE - SAGE CODE APPLIED","OLFA® SVR2 Precision Knife",,SVR-2,SVR2,6.9,"SKU on the site changed from ""SVR-2"" to your Sage code ""SVR2"". No further action needed."
"DONE - SAGE CODE APPLIED","OLFA® XA1 X-Design Comfort Grip Precision Knife",,XA1,XA-1,4.9,"SKU on the site changed from ""XA1"" to your Sage code ""XA-1"". No further action needed."
"PLEASE CONFIRM - DELETE FROM SITE?","Orajet 3162 – 4 Year Removable Digital Vinyl","Orajet 3162 - 4 Year Removable Digital Vinyl",Orajet_3162-sz01,,81.3,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Orajet 3268 Matt White Wall Sticker Vinyl :: 500mm x 25m",,BN-20_Digital_Wall_Art_Vinyl,,100.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"DONE - SAGE CODE APPLIED","Orange Flock Heat Transfer Vinyl",,180,7533500,11.56,"SKU on the site changed from ""180"" to your Sage code ""7533500"". No further action needed."
"NOT APPLIED - PRODUCT REMOVED","Pack of 12 Black Banner Bungees","Ball End",Banner_Bungees_Black-sz02,BUNGBALLBLACK,6.84,"You gave the Sage code ""BUNGBALLBLACK"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - PRODUCT REMOVED","Pack of 12 Black Banner Bungees","T-Bar End",Banner_Bungees_Black-sz01,BUNGTENDBLACK,6.84,"You gave the Sage code ""BUNGTENDBLACK"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - CANNOT FIND PRODUCT","Pack of 12 White Banner Bungees","Ball End",BUNG-sz02,BUNGBALL,6.84,"You gave Sage code ""BUNGBALL"", but we could not find a live item on the site with the old code ""BUNG-sz02"" (it may have been renamed or restructured since the export). Please confirm this product still exists."
"NOT APPLIED - CANNOT FIND PRODUCT","Pack of 12 White Banner Bungees","T-Bar End",BUNG-sz01,BUNGTEND,6.84,"You gave Sage code ""BUNGTEND"", but we could not find a live item on the site with the old code ""BUNG-sz01"" (it may have been renamed or restructured since the export). Please confirm this product still exists."
"FYI - CODE ALREADY ON THE PRODUCT","Pack of 5 Plastic Squeegees","Pack of 250 (53p each)",S-sz02,S,132.5,"Sage code ""S"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Pack of 5 Plastic Squeegees","Pack of 5 (69p each)",S-sz01,"CLICKER IN 5'S WITH Q DISC FOR 250",3.45,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 250""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"PLEASE CONFIRM - DELETE FROM SITE?","Plotter Pens",,3390,,11.5,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"DONE - SAGE CODE APPLIED","Plotter Pens","To fit Graphtec cutters","PLO PLO1 PLO2-sz03",PLO,14.3,"SKU on the site changed from ""PLO PLO1 PLO2-sz03"" to your Sage code ""PLO"". No further action needed."
"CONFLICT - SAME CODE ON TWO LINES","Plotter Pens","To fit Mutoh cutters","PLO PLO1 PLO2-sz02",PLO1,11.5,"You gave Sage code ""PLO1"" to more than one line in the sheet. SKUs must be unique, so please confirm which line should keep it."
"CONFLICT - SAME CODE ON TWO LINES","Plotter Pens","To fit Roland cutters","PLO PLO1 PLO2-sz01",PLO1,11.5,"You gave Sage code ""PLO1"" to more than one line in the sheet. SKUs must be unique, so please confirm which line should keep it."
"DONE - SAGE CODE APPLIED","Poli Print 815 – 4 Year Matt Transparent Digital Vinyl","Poli Print 815 - 4 Year Matt Transparent Digital Vinyl - Size / Format — 1372mm x 50m",PP815-sz01,PP8151370,99.4,"SKU on the site changed from ""PP815-sz01"" to your Sage code ""PP8151370"". No further action needed."
"NOT APPLIED - PRODUCT REMOVED","Polyester Canvas :: 500mm x 25m",,BN-20_Digital_Canvas,CANPOL500,40.25,"You gave the Sage code ""CANPOL500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NEEDS DECISION - NOT A SAGE CODE","Polyester Protection Film",,CHEVTAPE,"Remove product",285.25,"The SKU/Resolution box has an instruction rather than a code (""Remove product""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"NOT APPLIED - PRODUCT REMOVED","Poster Paper :: 500mm x 50m",,BN-20_Digital_Poster_Paper,DIGPA200500,46.6,"You gave the Sage code ""DIGPA200500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - PRODUCT REMOVED","PP1200 Gloss White 5 Year Digital Print Vinyl :: 500mm x 50m",,BN-20_Digital_Vinyl_7YEAR,PP1200500,77.2,"You gave the Sage code ""PP1200500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - PRODUCT REMOVED","PP1230 Premium Gloss Laminating Film :: 500mm x 50m",,BN-20_Digital_Laminate_7YEAR,PP1230500,77.2,"You gave the Sage code ""PP1230500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - PRODUCT REMOVED","PP800 4 Year Gloss White Digital Print Vinyl :: 500mm x 50m",,BN-20_Digital_Vinyl_4YEARGLOSS,PP800500,57.4,"You gave the Sage code ""PP800500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - PRODUCT REMOVED","PP805 4 Year Matt White Digital Print Vinyl :: 500mm x 50m",,BN-20_Digital_Vinyl_4YEARMATT,PP805500,57.4,"You gave the Sage code ""PP805500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"NOT APPLIED - PRODUCT REMOVED","PP810 Economy Gloss Laminating Film :: 500mm x 50m",,BN-20_Digital_Laminate_3YEAR,PP810500,57.4,"You gave the Sage code ""PP810500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"DONE - REMOVED FROM SITE","Q2 Hard Silver","full roll - 1220mm x 50 mtr","Cover Styl' Q2-sz02",,1496.25,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","Q2 Hard Silver","part roll - price per mtr at 1220mm","Cover Styl' Q2-sz01",,33.25,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - PRICE UPDATED","Rectangular Wall Sign",,WSRE,"Amend to £27.80",25.3,"Price updated on the site as you instructed (""Amend to £27.80""). No further action needed."
"DONE - SAGE CODE APPLIED","Red Flock Heat Transfer Vinyl",,200,7532500,11.56,"SKU on the site changed from ""200"" to your Sage code ""7532500"". No further action needed."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz01,,3.54,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz02,,5.73,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz03,,7.98,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz04,,8.19,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz05,,40.95,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz06,,11.4,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz07,,57.0,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz08,,18.24,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Red Glitter",,GL8-sz09,,91.2,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"FYI - CODE ALREADY ON THE PRODUCT","Red Glitter","1220mm wide — per 30 metre roll",GL8-sz11,GL8,987.0,"Sage code ""GL8"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Red Glitter","1220mm wide — per metre",GL8-sz10,"Q DISC FOR 30",34.64,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"NEEDS DECISION - MULTIPLE CODES","Reeded Glass Film :: 1520mm Wide",,RGF,"RGF121520 / RGF061520",18.8,"You listed more than one Sage code here (""RGF121520 / RGF061520""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NEEDS DECISION - MULTIPLE CODES","Regusign P20",,P20,"P201200 / P20600",233.9,"You listed more than one Sage code here (""P201200 / P20600""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NEEDS DECISION - MULTIPLE CODES","Regusign PF2",,PF2,"PF2-1200 / PF2-600",203.9,"You listed more than one Sage code here (""PF2-1200 / PF2-600""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"DONE - PRICE UPDATED","Ri-Jet 75 Hi-Grip",,RJ75HG1370,"Amend to £329.70",314.0,"Price updated on the site as you instructed (""Amend to £329.70""). No further action needed."
"NEEDS DECISION - MULTIPLE CODES","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1370mm x 50m",RJ50STA/F-sz04,RJ50STA/F1370,541.8,"You listed more than one Sage code here (""RJ50STA/F1370""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NEEDS DECISION - NOT A SAGE CODE","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1370mm x 5m",RJ50STA/F-sz03,"CLICKER IN 5'S WITH Q DISC FOR 50",60.2,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 50""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"NEEDS DECISION - MULTIPLE CODES","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1520mm x 50m",RJ50STA/F-sz06,RJ50STA/F1524,601.2,"You listed more than one Sage code here (""RJ50STA/F1524""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NEEDS DECISION - NOT A SAGE CODE","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1520mm x 5m",RJ50STA/F-sz05,"CLICKER IN 5'S WITH Q DISC FOR 50",66.8,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 50""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"NEEDS DECISION - MULTIPLE CODES","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 760mm x 50m",RJ50STA/F-sz02,RJ50STA/F760,331.2,"You listed more than one Sage code here (""RJ50STA/F760""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NEEDS DECISION - NOT A SAGE CODE","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 760mm x 5m",RJ50STA/F-sz01,"CLICKER IN 5'S WITH Q DISC FOR 50",36.8,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 50""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","Ri-Jet M100 Gloss Clear Removable SB - 3 Year Transparent Digital Vinyl",,RJ100CLEAR,RJ100CR1370,183.5,"SKU on the site changed from ""RJ100CLEAR"" to your Sage code ""RJ100CR1370"". No further action needed."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 100 Gloss White","or 1220mm wide here — full 50 metre roll",L100-sz11,"L1001220 / L100610",130.0,"You listed more than one Sage code here (""L1001220 / L100610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 100 Gloss White","Size / Format — full 50 metre roll",L100-sz13,,65.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 100 Gloss White","Size / Format — part roll - price per metre",L100-sz12,,1.47,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 101 Gloss Black","or 1220mm wide here — full 50 metre roll",L101-sz11,"L1011220 / L101610",130.0,"You listed more than one Sage code here (""L1011220 / L101610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 101 Gloss Black","Size / Format — full 50 metre roll",L101-sz13,,65.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 101 Gloss Black","Size / Format — part roll - price per metre",L101-sz12,,1.47,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 145 Gloss Brown","or 1220mm wide here — full 50 metre roll",L145-sz11,"L1451220 / L145610",140.0,"You listed more than one Sage code here (""L1451220 / L145610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 145 Gloss Brown","Size / Format — full 50 metre roll",L145-sz13,,70.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 145 Gloss Brown","Size / Format — part roll - price per metre",L145-sz12,,1.59,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 151 Gloss Perfect Purple","or 1220mm wide here — full 50 metre roll",L151-sz11,"L1511220 / L151610",140.0,"You listed more than one Sage code here (""L1511220 / L151610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 151 Gloss Perfect Purple","Size / Format — full 50 metre roll",L151-sz13,,70.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 151 Gloss Perfect Purple","Size / Format — part roll - price per metre",L151-sz12,,1.59,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 199 Gloss Transparent","or 1220mm wide here — full 50 metre roll",L199-sz11,"L1991220 / L199610",130.0,"You listed more than one Sage code here (""L1991220 / L199610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 199 Gloss Transparent","Size / Format — full 50 metre roll",L199-sz13,,65.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 199 Gloss Transparent","Size / Format — part roll - price per metre",L199-sz12,,1.47,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 304 Matt Grey","or 1220mm wide here — full 50 metre roll",M304-sz11,"M3041220 / M304610",154.0,"You listed more than one Sage code here (""M3041220 / M304610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 304 Matt Grey","Size / Format — full 50 metre roll",M304-sz13,,77.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 304 Matt Grey","Size / Format — part roll - price per metre",M304-sz12,,1.75,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Ri-Mark Event 366 Matt Vivid Blue","or 1220mm wide here — full 50 metre roll",M366-sz11,"M3661220 / M366610",154.0,"You listed more than one Sage code here (""M3661220 / M366610""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 366 Matt Vivid Blue","Size / Format — full 50 metre roll",M366-sz13,,77.0,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"STILL NEEDS A SAGE CODE","Ri-Mark Event 366 Matt Vivid Blue","Size / Format — part roll - price per metre",M366-sz12,,1.75,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"DONE - SAGE CODE APPLIED","Ri-Mark Event Series Colour Selectors","Ri-Mark Event Series 2 Page A4 Colour Card",Ri-Mark-Event-Colour-Cards,COLSELEVENTA4,2.5,"SKU on the site changed from ""Ri-Mark-Event-Colour-Cards"" to your Sage code ""COLSELEVENTA4"". No further action needed."
"DONE - SAGE CODE APPLIED","Ri-Mark Event Series Colour Selectors","Ri-Mark Event Series Colour Pocket Swatch",Ri-Mark-Event-Colour-Pocket-Swatch,COLSELEVENTPS,5.0,"SKU on the site changed from ""Ri-Mark-Event-Colour-Pocket-Swatch"" to your Sage code ""COLSELEVENTPS"". No further action needed."
